team,abbreviation,wins,losses,win_pct,games_behind,streak,rank
Detroit Tigers,DET,33.0,17.0,0.66,0.0,2.0,
New York Yankees,NYY,29.0,19.0,0.6041667,3.0,3.0,
Seattle Mariners,SEA,28.0,20.0,0.5833333,4.0,1.0,
Minnesota Twins,MIN,27.0,22.0,0.5510204,5.5,-1.0,
Kansas City Royals,KC,28.0,23.0,0.54901963,5.5,1.0,
Cleveland Guardians,CLE,26.0,22.0,0.5416667,6.0,1.0,
Houston Astros,HOU,25.0,24.0,0.5102041,7.5,-2.0,
Toronto Blue Jays,TOR,24.0,24.0,0.5,8.0,2.0,
Texas Rangers,TEX,25.0,25.0,0.5,8.0,-3.0,
Boston Red Sox,BOS,25.0,26.0,0.49019608,8.5,-1.0,
Los Angeles Angels,LAA,23.0,25.0,0.47916666,9.0,6.0,
Tampa Bay Rays,TB,23.0,26.0,0.46938777,9.5,2.0,
Athletics,ATH,22.0,28.0,0.44,11.0,-8.0,
Baltimore Orioles,BAL,16.0,32.0,0.33333334,16.0,1.0,
Chicago White Sox,CHW,15.0,35.0,0.3,18.0,-1.0,
Philadelphia Phillies,PHI,31.0,18.0,0.63265306,0.0,6.0,
Los Angeles Dodgers,LAD,31.0,19.0,0.62,0.5,2.0,
Chicago Cubs,CHC,30.0,20.0,0.6,1.5,2.0,
New York Mets,NYM,30.0,20.0,0.6,1.5,1.0,
San Francisco Giants,SF,29.0,21.0,0.58,2.5,-1.0,
San Diego Padres,SD,27.0,20.0,0.5744681,3.0,-5.0,
St. Louis Cardinals,STL,27.0,23.0,0.54,4.5,-2.0,
Arizona Diamondbacks,ARI,26.0,24.0,0.52,5.5,-2.0,
Atlanta Braves,ATL,24.0,24.0,0.5,6.5,-1.0,
Cincinnati Reds,CIN,25.0,26.0,0.49019608,7.0,-2.0,
Milwaukee Brewers,MIL,24.0,26.0,0.48,7.5,-1.0,
Washington Nationals,WSH,22.0,27.0,0.4489796,9.0,4.0,
Miami Marlins,MIA,19.0,29.0,0.39583334,11.5,-2.0,
Pittsburgh Pirates,PIT,17.0,33.0,0.34,14.5,2.0,
Colorado Rockies,COL,8.0,41.0,0.1632653,23.0,-4.0,
