date,status,home_team,home_score,away_team,away_score
2025-05-19T22:40Z,Final,Miami Marlins,8,Chicago Cubs,7
2025-05-19T22:40Z,Final,Pittsburgh Pirates,1,Cincinnati Reds,7
2025-05-19T22:45Z,Final,Boston Red Sox,3,New York Mets,1
2025-05-19T23:05Z,Final,Tampa Bay Rays,3,Houston Astros,4
2025-05-19T23:40Z,Final,Milwaukee Brewers,5,Baltimore Orioles,4
2025-05-19T23:40Z,Suspended,Minnesota Twins,2,Cleveland Guardians,1
2025-05-19T23:40Z,Final,Chicago White Sox,1,Seattle Mariners,5
2025-05-19T23:45Z,Final,St. Louis Cardinals,11,Detroit Tigers,4
2025-05-20T00:40Z,Final,Colorado Rockies,3,Philadelphia Phillies,9
2025-05-20T01:45Z,Final,San Francisco Giants,1,Kansas City Royals,3
2025-05-20T02:05Z,Final,Athletics,3,Los Angeles Angels,4
2025-05-20T02:10Z,Final,Los Angeles Dodgers,5,Arizona Diamondbacks,9
